Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/usr/sbin/nologin,0,99999,,NO,NOT_SET,Regular,"MinPwdAge_NOT_SET"
syslog,101,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
messagebus,102,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
landscape,103,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
sshd,104,/usr/sbin/nologin,0,99999,,NO,NOT_SET,Service,"OK"
vmware,1000,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
statd,105,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
ntp,106,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
snmp,107,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
postfix,108,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
colord,109,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
systemd-timesync,110,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
systemd-network,111,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
systemd-resolve,112,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
uuidd,100,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
nagios,114,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
_apt,115,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
Debian-snmp,113,/bin/false,0,99999,,NO,NOT_SET,Service,"OK"
saned,116,/usr/sbin/nologin,0,99999,,NO,NOT_SET,Service,"OK"
splunk,1806,/usr/sbin/nologin,0,99999,,NO,NOT_SET,Regular,"MinPwdAge_NOT_SET"
dmechain,1332,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
ecadic,208,/bin/bash,-1,-1,,YES,NOT_SET,Service,"ServiceAccount_InteractiveShell"
fdeweulf,1660,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
C95013195,1833,/bin/bash,-1,-1,,YES,NOT_SET,Regular,"OK"
lbretin,501550,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
E40053076,1744,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
plebret1,1827,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
nteisser,1495,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
olafourc,4012,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
jcazemaj,1454,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
e40010771,4013,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
C95026223,1870,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
fr-726-ansible,1868,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
embusch,19000,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
oantoine,10582,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
ppvelus9,19001,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
fperez,19001,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
flescuye,19001,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
fwandels,1465,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
scavaill,1791,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
C90402784,1878,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
fblanche,1512,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
C95046141,1885,/bin/bash,-1,-1,,YES,NOT_SET,Regular,"OK"
sisips,19002,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
dcscaf,19003,/sbin/nologin,0,99999,,NO,NOT_SET,Regular,"MinPwdAge_NOT_SET"
e40014808,19004,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
E10687444,19005,/bin/bash,0,99999,,YES,NOT_SET,Regular,"MinPwdAge_NOT_SET"
